ID,Species,colony,treatment,tank,sampling_point,day,position_glass,net_ps,respiration,gross_ps
C-T1-2,Pve,C,MP + HF,1,T0,1,A6,40.18357624,13.02108358,53.20465983
C-T10,Spi,C,Control,10,T0,4,A2,4.766533326,21.57300684,26.33954016
C-T10,Spi,C,Control,10,T1,8,A2,41.59993816,6.91116324,48.5111014
C-T10-2,Pve,C,Control,10,T1,7,B5,14.72226008,12.7823371,27.50459718
C-T10-2,Pve,C,Control,10,T0,3,C2,20.73924309,10.67107619,31.41031928
C-T11,Spi,C,MP + HF,11,T0,2,B8,26.64194927,6.757453244,33.39940251
C-T11,Spi,C,MP + HF,11,T1,6,A2,75.69870339,11.03399281,86.7326962
C-T11-2,Pve,C,MP + HF,11,T0,1,C7,16.36243611,9.889543192,26.2519793
C-T11-2,Pve,C,MP + HF,11,T1,5,B5,13.79813079,9.361602193,23.15973298
C-T14,Spi,C,MP,14,T1,7,A6,20.20040789,1.897518784,22.09792667
C-T14,Spi,C,MP,14,T0,3,B2,33.47818845,2.324769811,35.80295826
C-T14-2,Pve,C,MP,14,T1,6,B8,90.14023885,23.62557574,113.7658146
C-T14-2,Pve,C,MP,14,T0,2,B5,35.40902137,16.0458195,51.45484087
C-T15,Spi,C,Control,15,T1,8,A8,27.02932637,9.613652705,36.64297908
C-T15,Spi,C,Control,15,T0,4,A8,16.20197359,6.763511727,22.96548532
C-T15-2,Pve,C,Control,15,T1,7,B11,20.76854123,8.343365283,29.11190652
C-T15-2,Pve,C,Control,15,T0,3,B11,15.01547256,5.22738135,20.2428539
C-T4,Spi,C,MP,4,T1,6,C1,34.9629452,20.29886483,55.26181003
C-T4,Spi,C,MP,4,T0,2,B12,33.26724778,2.775372404,36.04262018
C-T4-2,Pve,C,MP,4,T0,2,A7,25.50045988,6.094041068,31.59450095
C-T4-2,Pve,C,MP,4,T1,6,A8,58.92334379,20.31523512,79.23857891
C-T5,Spi,C,Control,5,T0,3,A11,13.03066262,-3.494906175,9.535756442
C-T5,Spi,C,Control,5,T1,7,C4,32.37915196,10.60684129,42.98599324
C-T5-2,Pve,C,Control,5,T0,3,B5,26.3599689,1.430511789,27.79048069
C-T5-2,Pve,C,Control,5,T1,7,A11,30.614247,15.75642986,46.37067686
C-T6,Spi,C,MP + HF,6,T1,5,C2,9.948848803,2.238434003,12.18728281
C-T6,Spi,C,MP + HF,6,T0,1,B2,50.7342877,9.386397599,60.1206853
C-T6-2,Pve,C,MP + HF,6,T0,1,B9,NA,NA,NA
C-T6-2,Pve,C,MP + HF,6,T1,5,A11,NA,NA,NA
C-T9,Spi,C,MP,9,T1,6,C7,25.94643257,12.61059753,38.5570301
C-T9,Spi,C,MP,9,T0,2,C7,13.66375402,-0.561273081,13.10248094
C-T9-2,Pve,C,MP,9,T0,2,C2,18.71246016,16.28937625,35.00183641
C-T9-2,Pve,C,MP,9,T1,6,B2,65.17461458,17.68159938,82.85621396
D-T1,Spi,D,MP + HF,1,T0,1,B5,13.20735149,-3.440921029,9.76643046
D-T1,Spi,D,MP + HF,1,T1,5,B11,10.43356845,0.738856755,11.17242521
D-T1-2,Pve,D,MP + HF,1,T0,1,A8,35.92104098,10.59599539,46.51703637
D-T1-2,Pve,D,MP + HF,1,T1,5,A7,11.91528452,8.10852583,20.02381035
D-T10,Spi,D,Control,10,T1,8,A5,14.87550061,18.47110364,33.34660425
D-T10,Spi,D,Control,10,T0,4,A5,14.15851247,6.317081341,20.47559381
D-T10-2,Pve,D,Control,10,T1,7,B7,9.589163765,12.43228597,22.02144974
D-T10-2,Pve,D,Control,10,T0,3,A6,20.60586443,-1.20664388,19.39922055
D-T11-2,Pve,D,MP + HF,11,T1,5,C11,10.49374874,3.428279601,13.92202834
D-T11-2,Pve,D,MP + HF,11,T0,1,C5,14.27028666,7.061203091,21.33148975
D-T14,Spi,D,MP,14,T0,3,C7,28.13536249,8.289535916,36.42489841
D-T14,Spi,D,MP,14,T1,7,A7,20.24475987,13.5083669,33.75312677
D-T14-2,Pve,D,MP,14,T0,2,B6,23.58177103,6.165727415,29.74749844
D-T14-2,Pve,D,MP,14,T1,6,B9,60.82156753,12.62688077,73.44844831
D-T15,Spi,D,Control,15,T1,8,A9,21.46008464,-1.670818614,19.78926602
D-T15,Spi,D,Control,15,T0,4,A9,25.67608727,8.806584221,34.48267149
D-T15-2,Pve,D,Control,15,T0,3,B6,42.03743369,3.413323146,45.45075683
D-T15-2,Pve,D,Control,15,T1,7,B12,16.73306983,8.391787546,25.12485738
D-T4,Spi,D,MP,4,T1,6,C2,60.7467274,28.64638628,89.39311368
D-T4,Spi,D,MP,4,T0,2,A6,39.88559199,10.87082847,50.75642047
D-T4-2,Pve,D,MP,4,T1,6,A9,80.01548749,20.53096559,100.5464531
