ID,Species,colony,treatment,tank,weight_.T0,weight_.T1,Volume_t1,Surface_t1,Volume_t2,Surface_t2,weight_t0,weight_t1,calcification
C-T6-2,Pve,C,MP + HF,6,5.031,5.898,NA,NA,NA,NA,7.730543894,9.05668236,NA
C-T9,Spi,C,MP,9,2.317,2.695,2208.33,1343.64,2467.25,1609.07,3.560260426,4.138311116,28.1325355
C-T9-2,Pve,C,MP,9,3.923,4.68,4341.72,2282.35,4912.3,2489.87,6.028011071,7.186380713,33.16756851
D-T1,Spi,D,MP + HF,1,1.958,2.143,2101.54,1341.62,2191.23,1468.17,3.008627499,3.290686724,13.7892995
D-T1-2,Pve,D,MP + HF,1,2.758,2.88,2480.37,1341.91,2558.95,1457.97,4.237893075,4.422388131,9.091518805
D-T10,Spi,D,Control,10,1.088,1.616,1615.54,1044.19,1641.1,1099.57,1.671801184,2.481451118,50.56551011
D-T10-2,Pve,D,Control,10,3.435,3.646,3249.76,1592.1,3475.79,1743.49,5.278159069,5.59862053,13.25293637
D-T11-2,Pve,D,MP + HF,11,3.143,3.253,2864.48,1564.69,2875.46,1606.17,4.829477134,4.995148816,7.030146547
D-T14,Spi,D,MP,14,2.017,2.503,2564.94,1655.67,2797.74,1923.38,3.099285835,3.84348524,29.35367555
D-T14-2,Pve,D,MP,14,2.657,3.228,3498.37,1838.17,3954.94,1879.06,4.082698296,4.95676003,31.06350338
D-T15,Spi,D,Control,15,1.401,1.726,1714.81,1434.08,1960.24,1519.47,2.152751341,2.650361776,22.66261296
D-T15-2,Pve,D,Control,15,3.876,4.302,3840.38,2140.42,3976.35,2183.97,5.955791718,6.605942271,19.90263593
D-T4,Spi,D,MP,4,2.031,1.792,2244.54,1647.11,2566.09,1810.63,3.120797982,2.75170817,-14.51026343
D-T4-2,Pve,D,MP,4,2.468,2.562,2487.83,1420.18,2643.06,1424.26,3.792284304,3.934082775,6.618879297
D-T5,Spi,D,Control,5,1.781,2.028,2153.31,1405.91,2257.28,1656.34,2.73665249,3.114098309,17.56869216
D-T5-2,Pve,D,Control,5,2.632,2.847,2544.02,1245.22,2559.08,1350.38,4.044283747,4.371714934,17.26602528
D-T6,Spi,D,MP + HF,6,1.413,1.758,1655.05,1274.67,2011.55,1413.47,2.171190325,2.699499422,27.0658288
D-T6-2,Pve,D,MP + HF,6,3.105,3.431,2901.67,1536.16,3061.16,1699.64,4.771087019,5.268476971,21.22174773
D-T9,Spi,D,MP,9,1.638,1.893,2052.15,1218.91,2189.86,1468.59,2.516921268,2.906798865,20.92033046
D-T9-2,Pve,D,MP,9,3.604,3.987,3741.58,1535.9,3888.99,1853.83,5.537841422,6.122243569,24.9365193
